"","#","Name","GP","GS","MIN","MPG","PPG","FGM","FGA","FG%","FTM","FTA","FT%","3PM","3PA","3P%","PTS","High","RPG","OFF","DEF","REB","AST","APG","TO","TOPG","STL","SPG","BLK","BLKPG","PF","PFPG","TF"
"2777",5,"Elijah Weaver",3,NA,NA,NA,16,0,0,0,0,0,0,0,0,0,48,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2778",2,"Eric Hester",3,NA,NA,NA,12.7,0,0,0,0,0,0,0,0,0,38,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2779",20,"Jerome Merritt",2,NA,NA,NA,15,0,0,0,0,0,0,0,0,0,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2780",NA,"Antwann Jones",1,NA,NA,NA,17,0,0,0,0,0,0,0,0,0,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2781",13,"Dontay Bassett",1,NA,NA,NA,14,0,0,0,0,0,0,0,0,0,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2782",1,"Troy Baxter",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2783",2,"Eric Hester",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2784",5,"Elijah Weaver",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2785",20,"Jerome Merritt",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,0,0,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2786",13,"Dontay Bassett",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,0,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2787",12,"LJ Figueroa",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2788",NA,"Antwann Jones",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2789",5,"Elijah Weaver",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,6,0,0,0,0,0,0,0,0,0
"2790",2,"Eric Hester",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,6.5,0,0,0,0,0,0,0,0,0
"2791",1,"Troy Baxter",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,6,3,0,0,0
"2792",13,"Dontay Bassett",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,4,4,0,0,0
"2793",12,"LJ Figueroa",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,9,3,0,0,0,0,0
